,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
224,2021-12-21,13:14,1:14 PM,152.8,152.79,152.79,152.8,152.8,202,30865.59,4,A
225,2021-12-21,13:15,1:15 PM,,,,,,0,0.0,0,A
226,2021-12-21,13:16,1:16 PM,152.87,152.75,152.75,152.87,152.833,237,36221.47,4,A
227,2021-12-21,13:17,1:17 PM,152.87,152.83,152.85,152.87,152.845,118,18035.66,3,A
228,2021-12-21,13:18,1:18 PM,152.9,152.87,152.9,152.87,152.886,55,8408.72,2,A
229,2021-12-21,13:19,1:19 PM,152.84,152.84,152.84,152.84,152.84,183,27969.72,10,A
230,2021-12-21,13:20,1:20 PM,153.05,152.89,152.89,153.005,152.965,589,90096.61,10,A
231,2021-12-21,13:21,1:21 PM,153.02,153.02,153.02,153.02,153.02,100,15302.0,1,A
232,2021-12-21,13:22,1:22 PM,,,,,,0,0.0,0,A
233,2021-12-21,13:23,1:23 PM,153.02,152.95,152.95,153.02,152.996,5,764.98,3,A
234,2021-12-21,13:24,1:24 PM,153.09,153.0,153.005,153.09,153.039,401,61368.59,5,A
235,2021-12-21,13:25,1:25 PM,153.17,153.17,153.17,153.17,153.17,1,153.17,1,A
236,2021-12-21,13:26,1:26 PM,153.15,153.04,153.15,153.04,153.11,401,61397.19,6,A
237,2021-12-21,13:27,1:27 PM,153.15,153.12,153.12,153.15,153.15,201,30783.12,3,A
238,2021-12-21,13:28,1:28 PM,,,,,,0,0.0,0,A
239,2021-12-21,13:29,1:29 PM,,,,,,0,0.0,0,A
240,2021-12-21,13:30,1:30 PM,153.3,153.23,153.23,153.3,153.299,101,15483.23,2,A
241,2021-12-21,13:31,1:31 PM,153.395,153.33,153.33,153.36,153.375,151,23159.6,3,A
242,2021-12-21,13:32,1:32 PM,153.43,153.43,153.43,153.43,153.43,200,30686.0,2,A
243,2021-12-21,13:33,1:33 PM,153.47,153.37,153.47,153.37,153.401,50,7670.07,5,A
244,2021-12-21,13:34,1:34 PM,153.375,153.29,153.375,153.29,153.297,50,7664.84,3,A
245,2021-12-21,13:35,1:35 PM,153.38,153.37,153.37,153.38,153.375,210,32208.75,4,A
246,2021-12-21,13:36,1:36 PM,153.47,153.41,153.45,153.41,153.43,207,31759.96,5,A
247,2021-12-21,13:37,1:37 PM,153.33,153.29,153.33,153.3,153.319,147,22537.95,4,A
248,2021-12-21,13:38,1:38 PM,,,,,,0,0.0,0,A
249,2021-12-21,13:39,1:39 PM,,,,,,0,0.0,0,A
250,2021-12-21,13:40,1:40 PM,153.3,153.3,153.3,153.3,153.3,100,15330.0,1,A
251,2021-12-21,13:41,1:41 PM,153.415,153.41,153.41,153.415,153.414,133,20404.03,2,A
252,2021-12-21,13:42,1:42 PM,153.42,153.42,153.42,153.42,153.42,100,15342.0,1,A
253,2021-12-21,13:43,1:43 PM,,,,,,0,0.0,0,A
254,2021-12-21,13:44,1:44 PM,153.43,153.4,153.4,153.43,153.41,300,46023.0,4,A
255,2021-12-21,13:45,1:45 PM,,,,,,0,0.0,0,A
256,2021-12-21,13:46,1:46 PM,153.445,153.445,153.445,153.445,153.445,41,6291.245,1,A
257,2021-12-21,13:47,1:47 PM,153.5,153.44,153.44,153.5,153.442,103,15804.5,2,A
258,2021-12-21,13:48,1:48 PM,153.5,153.5,153.5,153.5,153.5,97,14889.5,1,A
259,2021-12-21,13:49,1:49 PM,153.58,153.52,153.58,153.52,153.576,108,16586.16,2,A
260,2021-12-21,13:50,1:50 PM,,,,,,0,0.0,0,A
261,2021-12-21,13:51,1:51 PM,,,,,,0,0.0,0,A
262,2021-12-21,13:52,1:52 PM,153.58,153.55,153.58,153.55,153.568,163,25031.65,4,A
263,2021-12-21,13:53,1:53 PM,,,,,,0,0.0,0,A
264,2021-12-21,13:54,1:54 PM,153.525,153.525,153.525,153.525,153.525,100,15352.5,1,A
265,2021-12-21,13:55,1:55 PM,153.47,153.4,153.47,153.4,153.469,101,15500.4,3,A
266,2021-12-21,13:56,1:56 PM,153.385,153.385,153.385,153.385,153.385,10,1533.85,1,A
267,2021-12-21,13:57,1:57 PM,153.42,153.34,153.42,153.34,153.348,10,1533.48,2,A
268,2021-12-21,13:58,1:58 PM,153.33,153.33,153.33,153.33,153.33,35,5366.55,1,A
269,2021-12-21,13:59,1:59 PM,153.18,153.18,153.18,153.18,153.18,100,15318.0,2,A
270,2021-12-21,14:00,2 PM,153.09,153.04,153.09,153.06,153.054,487,74537.43,10,A
271,2021-12-21,14:01,2:01 PM,153.08,153.08,153.08,153.08,153.08,100,15308.0,1,A
272,2021-12-21,14:02,2:02 PM,153.18,153.155,153.155,153.18,153.175,40,6127.02,3,A
273,2021-12-21,14:03,2:03 PM,153.285,153.28,153.28,153.285,153.28,57,8736.975,3,A
274,2021-12-21,14:04,2:04 PM,,,,,,0,0.0,0,A
275,2021-12-21,14:05,2:05 PM,153.525,153.5,153.5,153.525,153.5,102,15657.05,4,A
276,2021-12-21,14:06,2:06 PM,153.435,153.42,153.435,153.42,153.42,102,15648.87,2,A
277,2021-12-21,14:07,2:07 PM,153.495,153.495,153.495,153.495,153.495,2,306.99,1,A
278,2021-12-21,14:08,2:08 PM,153.495,153.475,153.495,153.49,153.495,103,15809.955,4,A
279,2021-12-21,14:09,2:09 PM,153.53,153.5,153.53,153.53,153.505,119,18267.04,5,A
280,2021-12-21,14:10,2:10 PM,,,,,,0,0.0,0,A
281,2021-12-21,14:11,2:11 PM,153.42,153.415,153.42,153.415,153.42,250,38354.99,5,A
282,2021-12-21,14:12,2:12 PM,,,,,,0,0.0,0,A
283,2021-12-21,14:13,2:13 PM,153.35,153.29,153.35,153.29,153.294,41,6285.07,2,A
284,2021-12-21,14:14,2:14 PM,153.38,153.38,153.38,153.38,153.38,5,766.9,2,A
285,2021-12-21,14:15,2:15 PM,153.39,153.39,153.39,153.39,153.39,100,15339.0,1,A
286,2021-12-21,14:16,2:16 PM,,,,,,0,0.0,0,A
287,2021-12-21,14:17,2:17 PM,153.26,153.26,153.26,153.26,153.26,10,1532.6,1,A
288,2021-12-21,14:18,2:18 PM,153.105,153.105,153.105,153.105,153.105,1,153.105,1,A
289,2021-12-21,14:19,2:19 PM,153.14,153.105,153.105,153.14,153.139,103,15773.315,2,A
290,2021-12-21,14:20,2:20 PM,,,,,,0,0.0,0,A
291,2021-12-21,14:21,2:21 PM,153.14,153.09,153.09,153.14,153.1,5,765.5,2,A
292,2021-12-21,14:22,2:22 PM,,,,,,0,0.0,0,A
293,2021-12-21,14:23,2:23 PM,153.13,153.13,153.13,153.13,153.13,2,306.26,1,A
294,2021-12-21,14:24,2:24 PM,153.28,153.28,153.28,153.28,153.28,101,15481.28,2,A
295,2021-12-21,14:25,2:25 PM,153.29,153.28,153.28,153.29,153.286,8,1226.29,2,A
